"subject" "condition" "item" "variable" "value"
"8735" 2 "a" 4 "TRC" NA
"8736" 2 "a" 4 "TRC" NA
"8737" 2 "a" 12 "TRC" 0
"8738" 2 "a" 12 "TRC" 1
"8739" 2 "a" 12 "TRC" 2
"8740" 2 "a" 12 "TRC" 0
"8741" 2 "a" 12 "TRC" 2
"8742" 2 "a" 12 "TRC" 1
"8743" 2 "a" 12 "TRC" 2
"8744" 2 "a" 12 "TRC" 1
"8745" 2 "a" 12 "TRC" 0
"8746" 2 "a" 12 "TRC" 2
"8747" 2 "a" 12 "TRC" NA
"8748" 2 "a" 12 "TRC" NA
"8749" 2 "b" 1 "TRC" 0
"8750" 2 "b" 1 "TRC" 1
"8751" 2 "b" 1 "TRC" 1
"8752" 2 "b" 1 "TRC" 2
"8753" 2 "b" 1 "TRC" 1
"8754" 2 "b" 1 "TRC" 1
"8755" 2 "b" 1 "TRC" 3
"8756" 2 "b" 1 "TRC" 2
"8757" 2 "b" 1 "TRC" 2
"8758" 2 "b" 1 "TRC" 1
"8759" 2 "b" 1 "TRC" NA
"8760" 2 "b" 1 "TRC" NA
"8761" 2 "d" 7 "TRC" 0
"8762" 2 "d" 7 "TRC" 0
"8763" 2 "d" 7 "TRC" 2
"8764" 2 "d" 7 "TRC" 1
"8765" 2 "d" 7 "TRC" 1
"8766" 2 "d" 7 "TRC" 0
"8767" 2 "d" 7 "TRC" 2
"8768" 2 "d" 7 "TRC" 1
"8769" 2 "d" 7 "TRC" 1
"8770" 2 "d" 7 "TRC" NA
"8771" 2 "d" 7 "TRC" NA
"8772" 2 "d" 7 "TRC" NA
"8773" 2 "c" 14 "TRC" 0
"8774" 2 "c" 14 "TRC" 1
"8775" 2 "c" 14 "TRC" 2
"8776" 2 "c" 14 "TRC" 1
"8777" 2 "c" 14 "TRC" 1
"8778" 2 "c" 14 "TRC" 1
"8779" 2 "c" 14 "TRC" 0
"8780" 2 "c" 14 "TRC" 0
"8781" 2 "c" 14 "TRC" 1
"8782" 2 "c" 14 "TRC" NA
"8783" 2 "c" 14 "TRC" NA
"8784" 2 "c" 14 "TRC" NA
"8785" 3 "d" 2 "TRC" 0
"8786" 3 "d" 2 "TRC" 0
"8787" 3 "d" 2 "TRC" 1
"8788" 3 "d" 2 "TRC" 0
"8789" 3 "d" 2 "TRC" 0
"8790" 3 "d" 2 "TRC" 0
"8791" 3 "d" 2 "TRC" 0
